,,,,,,,,,,,
Data,SPOT,FUT  IANVEST,Base,ENTRAGA_V,SAÍDA_V,RESULTADO_V,450*1=,ENTRAGA_C,SAÍDA_C,RESULTADO_C,450*1=
05/03/2025,2612.63,2950.12,337.49306,2950.12,2950.12,0,0,2950.12,2950.12,0,0
06/03/2025,2543.07,2757.46,214.38951,2950.12,2757.46,192.66355,86698.5975,2950.12,2757.46,-192.66355,-86698.5975
07/03/2025,2514.82,2745.66,230.8432,2757.46,2745.66,11.79631,5308.3395,2757.46,2745.66,-11.79631,-5308.3395
10/03/2025,2525.06,2750.81,225.75076,2745.66,2750.81,-5.14756,-2316.402,2745.66,2750.81,5.14756,2316.402
11/03/2025,2561.17,2848.50,287.329325,2750.81,2848.50,-97.688565,-43959.85425,2750.81,2848.50,97.688565,43959.85425
12/03/2025,2532.4,2788.71,256.31063,2848.50,2788.71,59.788695,26904.91275,2848.50,2788.71,-59.788695,-26904.91275
13/03/2025,2541.58,2769.95,228.366875,2788.71,2769.95,18.763755,8443.68975,2788.71,2769.95,-18.763755,-8443.68975
14/03/2025,2494.82,2671.43,176.60689,2769.95,2671.43,98.519985,44333.99325,2769.95,2671.43,-98.519985,-44333.99325
17/03/2025,2520.22,2710.54,190.31924,2671.43,2710.54,-39.11235,-17600.5575,2671.43,2710.54,39.11235,17600.5575
18/03/2025,2509.06,2683.13,174.0712,2710.54,2683.13,27.40804,12333.618,2710.54,2683.13,-27.40804,-12333.618
19/03/2025,2529.28,2729.73,200.448435,2683.13,2729.73,-46.597235,-20968.75575,2683.13,2729.73,46.597235,20968.75575
20/03/2025,2548.18,2769.95,221.76824,2729.73,2769.95,-40.219805,-18098.91225,2729.73,2769.95,40.219805,18098.91225
21/03/2025,2553.66,2785.06,231.3951,2769.95,2785.06,-15.10686,-6798.087,2769.95,2785.06,15.10686,6798.087
24/03/2025,2579.6,2848.90,269.300095,2785.06,2848.90,-63.844995,-28730.24775,2785.06,2848.90,63.844995,28730.24775
25/03/2025,2609.91,2870.10,260.18989,2848.90,2870.10,-21.199795,-9539.90775,2848.90,2870.10,21.199795,9539.90775
26/03/2025,2597.83,2845.69,247.86364,2870.10,2845.69,24.40625,10982.8125,2870.10,2845.69,-24.40625,-10982.8125
27/03/2025,2544.62,2776.28,231.65908,2845.69,2776.28,69.41456,31236.552,2845.69,2776.28,-69.41456,-31236.552
28/03/2025,2510.47,2799.68,289.20824,2776.28,2799.68,-23.39916,-10529.622,2776.28,2799.68,23.39916,10529.622
31/03/2025,2521.21,2777.79,256.57608,2799.68,2777.79,21.89216,9851.472,2799.68,2777.79,-21.89216,-9851.472
01/07/2025,1807.41,2021.86,214.452975,2777.79,2021.86,755.923105,340165.3973,2777.79,2021.86,-755.923105,-340165.3973
02/07/2025,1779.95,2015.36,235.40935,2021.86,2015.36,6.503625,2926.63125,2021.86,2015.36,-6.503625,-2926.63125
03/07/2025,1742.2,1966.18,223.97755,2015.36,1966.18,49.1818,22131.81,2015.36,1966.18,-49.1818,-22131.81
04/07/2025,1736.94,1961.90,224.9571,1966.18,1961.90,4.28045,1926.2025,1966.18,1961.90,-4.28045,-1926.2025
07/07/2025,1682.7,1887.84,205.13706,1961.90,1887.84,74.06004,33327.018,1961.90,1887.84,-74.06004,-33327.018
08/07/2025,1685.98,1941.42,255.4427,1887.84,1941.42,-53.58564,-24113.538,1887.84,1941.42,53.58564,24113.538
09/07/2025,1685.52,1932.18,246.6625,1941.42,1932.18,9.2402,4158.09,1941.42,1932.18,-9.2402,-4158.09
10/07/2025,1721.5,1990.38,268.88357,1932.18,1990.38,-58.20107,-26190.4815,1932.18,1990.38,58.20107,26190.4815
11/07/2025,1728.48,1991.29,262.80984,1990.38,1991.29,-0.90627,-407.8215,1990.38,1991.29,0.90627,407.8215
14/07/2025,1783.7,2112.38,328.682,1991.29,2112.38,-121.09216,-54491.472,1991.29,2112.38,121.09216,54491.472
15/07/2025,1785.02,2081.61,296.59474,2112.38,2081.61,30.76726,13845.267,2112.38,2081.61,-30.76726,-13845.267
16/07/2025,1820.36,2182.67,362.3143,2081.61,2182.67,-101.05956,-45476.802,2081.61,2182.67,101.05956,45476.802
17/07/2025,1815.89,2168.21,352.324555,2182.67,2168.21,14.459745,6506.88525,2182.67,2168.21,-14.459745,-6506.88525
18/07/2025,1825.66,2131.33,305.6678,2168.21,2131.33,36.886755,16599.03975,2168.21,2131.33,-36.886755,-16599.03975
21/07/2025,1803.32,2051.78,248.46491,2131.33,2051.78,79.54289,35794.3005,2131.33,2051.78,-79.54289,-35794.3005
22/07/2025,1801.66,2067.70,266.03536,2051.78,2067.70,-15.91045,-7159.7025,2051.78,2067.70,15.91045,7159.7025
23/07/2025,1818.16,2101.29,283.13304,2067.70,2101.29,-33.59768,-15118.956,2067.70,2101.29,33.59768,15118.956
24/07/2025,1824.52,2059.36,234.842405,2101.29,2059.36,41.930635,18868.78575,2101.29,2059.36,-41.930635,-18868.78575
25/07/2025,1809.56,2031.97,222.4143,2059.36,2031.97,27.388105,12324.64725,2059.36,2031.97,-27.388105,-12324.64725
28/07/2025,1822.71,2082.87,260.16088,2031.97,2082.87,-50.89658,-22903.461,2031.97,2082.87,50.89658,22903.461
29/07/2025,1801.23,2059.14,257.91294,2082.87,2059.14,23.72794,10677.573,2082.87,2059.14,-23.72794,-10677.573
30/07/2025,1797.02,2060.71,263.68984,2059.14,2060.71,-1.5669,-705.105,2059.14,2060.71,1.5669,705.105
31/07/2025,1811.87,2073.40,261.525225,2060.71,2073.40,-12.685385,-5708.42325,2060.71,2073.40,12.685385,5708.42325
03/11/2025,2253.33,2617.17,363.84108,2073.40,2617.17,-543.775855,-244699.1348,2073.40,2617.17,543.775855,244699.1348
04/11/2025,2272.55,2636.28,363.7256,2617.17,2636.28,-19.10452,-8597.034,2617.17,2636.28,19.10452,8597.034
05/11/2025,2305.83,2679.92,374.08744,2636.28,2679.92,-43.64184,-19638.828,2636.28,2679.92,43.64184,19638.828
06/11/2025,2250.02,2598.50,348.4759,2679.92,2598.50,81.42154,36639.693,2679.92,2598.50,-81.42154,-36639.693
07/11/2025,2290.64,2664.12,373.48414,2598.50,2664.12,-65.62824,-29532.708,2598.50,2664.12,65.62824,29532.708
10/11/2025,2291.24,2685.34,394.0975,2664.12,2685.34,-21.21336,-9546.012,2664.12,2685.34,21.21336,9546.012
11/11/2025,2294.47,2671.47,377.00441,2685.34,2671.47,13.86309,6238.3905,2685.34,2671.47,-13.86309,-6238.3905
12/11/2025,2241.18,2563.05,321.86513,2671.47,2563.05,108.42928,48793.176,2671.47,2563.05,-108.42928,-48793.176
13/11/2025,2218.7,2533.75,315.05165,2563.05,2533.75,29.29348,13182.066,2563.05,2533.75,-29.29348,-13182.066
14/11/2025,2204.71,2535.32,330.60921,2533.75,2535.32,-1.56756,-705.402,2533.75,2535.32,1.56756,705.402
17/11/2025,2207.42,2549.43,342.00702,2535.32,2549.43,-14.10781,-6348.5145,2535.32,2549.43,14.10781,6348.5145
18/11/2025,2231.54,2585.85,354.310075,2549.43,2585.85,-36.423055,-16390.37475,2549.43,2585.85,36.423055,16390.37475
19/11/2025,2232.1,2546.72,314.6183,2585.85,2546.72,39.131775,17609.29875,2585.85,2546.72,-39.131775,-17609.29875
21/11/2025,2181.7,2492.96,311.25948,2546.72,2492.96,53.75882,24191.469,2546.72,2492.96,-53.75882,-24191.469
24/11/2025,2198.88,2506.95,308.07445,2492.96,2506.95,-13.99497,-6297.7365,2492.96,2506.95,13.99497,6297.7365
25/11/2025,2250.1,2550.16,300.06395,2506.95,2550.16,-43.2095,-19444.275,2506.95,2550.16,43.2095,19444.275
26/11/2025,2239.07,2511.26,272.1862,2550.16,2511.26,38.90775,17508.4875,2550.16,2511.26,-38.90775,-17508.4875
27/11/2025,2241.53,2501.71,260.1841,2511.26,2501.71,9.5421,4293.945,2511.26,2501.71,-9.5421,-4293.945
28/11/2025,2252.95,2505.27,252.3207,2501.71,2505.27,-3.5566,-1600.47,2501.71,2505.27,3.5566,1600.47
,,,,2505.27,,2505.2707,1127371.815,2505.27,,-2505.2707,-1127371.815